,Bearing 1,Bearing 2,Bearing 3,Bearing 4
2004-02-12 10:32:39,0.05833242187500013,0.07183159179687551,0.08324428710937497,0.043064941406248725
2004-02-12 10:42:39,0.05899663085937431,0.07400830078124984,0.0844388183593748,0.044539941406248576
2004-02-12 10:52:39,0.060238964843749354,0.07422348632812467,0.08392221679687481,0.0444419921874984
2004-02-12 11:02:39,0.06145327148437446,0.07384311523437474,0.08446240234375005,0.04508110351562415
2004-02-12 11:12:39,0.061360986328124735,0.07560639648437503,0.0828367187500002,0.04511831054687397
2004-02-12 11:22:39,0.0616685058593747,0.07328051757812419,0.0848856933593745,0.04417065429687356
2004-02-12 11:32:39,0.0619439453124996,0.07459233398437454,0.08262333984374962,0.04465830078124887
2004-02-12 11:42:39,0.061231347656249234,0.07417060546874932,0.08202099609374967,0.04384008789062364
2004-02-12 11:52:39,0.06228134765624953,0.075808203125,0.08437338867187452,0.044273291015623564
2004-02-12 12:02:39,0.05989282226562444,0.0751167968749992,0.08450395507812443,0.04397231445312349
2004-02-12 12:12:39,0.062369384765624446,0.07550722656249922,0.08223647460937475,0.0441699707031237
2004-02-12 12:22:39,0.06083764648437471,0.07464858398437439,0.08055434570312488,0.04360444335937363
2004-02-12 12:32:39,0.06109130859374947,0.07482954101562475,0.08078549804687543,0.04352270507812386
2004-02-12 12:42:39,0.06260361328124903,0.07549184570312462,0.08062187499999954,0.04467817382812392
2004-02-12 12:52:39,0.062341455078124185,0.07560327148437443,0.08039472656249973,0.04424624023437325
2004-02-12 13:02:39,0.06163056640624985,0.07528203124999974,0.0810019042968748,0.044686767578123385
2004-02-12 13:12:39,0.061883496093749824,0.07599433593750009,0.0833077148437494,0.044552099609373695
2004-02-12 13:22:39,0.06124448242187477,0.07403535156249938,0.08016284179687452,0.04348164062499894
2004-02-12 13:32:39,0.061474462890624894,0.07533076171874926,0.08175893554687484,0.044155810546873675
2004-02-12 13:42:39,0.061842382812499395,0.0758182617187497,0.0815086914062498,0.04355419921874858
2004-02-12 13:52:39,0.06221137695312442,0.0759188964843748,0.08089184570312506,0.043925976562498234
2004-02-12 14:02:39,0.0626232910156246,0.07640932617187474,0.0822975097656247,0.04376416015624877
2004-02-12 14:12:39,0.06251264648437481,0.07490590820312501,0.08181030273437447,0.04343017578124891
2004-02-12 14:22:39,0.06260395507812444,0.07651123046874965,0.08113833007812492,0.0450414062499983
2004-02-12 14:32:39,0.06244741210937501,0.07664794921875008,0.08357324218749923,0.04451674804687393
2004-02-12 14:42:39,0.061328759765624276,0.07514804687499946,0.08257143554687454,0.04414335937499842
2004-02-12 14:52:39,0.06144902343749979,0.07666586914062438,0.08087377929687531,0.04386596679687365
2004-02-12 15:02:39,0.061288085937499646,0.07556157226562493,0.08217465820312424,0.044178955078123874
2004-02-12 15:12:39,0.06190380859374989,0.07515419921874975,0.08251352539062493,0.04384360351562378
2004-02-12 15:22:39,0.0618897460937496,0.07588139648437471,0.08026474609374998,0.04373535156249857
2004-02-12 15:32:39,0.06172607421874952,0.07564682617187445,0.0813568847656245,0.04328037109374847
2004-02-12 15:42:39,0.06320795898437465,0.0755150390625002,0.08135029296875021,0.04509169921874863
2004-02-12 15:52:39,0.06069135742187467,0.07611416015624978,0.08007026367187495,0.0440298339843737
2004-02-12 16:02:39,0.06227343749999929,0.07644072265624963,0.08200498046875003,0.04452133789062362
2004-02-12 16:12:39,0.06152519531249937,0.0773216308593749,0.08341738281249952,0.04420649414062364
2004-02-12 16:22:39,0.061505615234374325,0.075809033203125,0.0793544921874999,0.0441729492187487
2004-02-12 16:32:39,0.06062832031249915,0.07618530273437454,0.08224033203124964,0.044367431640623525
2004-02-12 16:42:39,0.06268540039062433,0.0765277832031244,0.08133124999999959,0.04478911132812364
2004-02-12 16:52:39,0.06121889648437501,0.07574770507812528,0.08236689453124958,0.04438124999999864
2004-02-12 17:02:39,0.06141440429687456,0.07675522460937441,0.08167958984375011,0.04503208007812392
2004-02-12 17:12:39,0.06157753906249987,0.0770155273437502,0.08198920898437465,0.04467309570312366
2004-02-12 17:22:39,0.06191557617187406,0.0758274902343751,0.08108427734374976,0.04419399414062362
2004-02-12 17:32:39,0.06114721679687472,0.0754916015624997,0.07966176757812463,0.0436552734374986
